Id,Power,Time,Species
1,1400.3,20.3,0
2,1500.3,22.3,0
3,1300.3,19.3,0
4,1400.3,20.3,0
5,1500.3,25.3,0
6,1340.3,20.3,0
7,1400.3,19.3,0
8,1500.3,17.3,0
9,1300.3,19.3,0
10,1400.3,22.3,0
11,1500.3,24.3,0
12,1340.3,21.3,0
13,1400.3,23.3,0
14,1500.3,17.3,0
15,1300.3,22.3,0
16,1400.3,23.3,0
17,1500.3,20.3,0
18,1340.3,24.3,0
19,1400.3,16.3,0
20,1500.3,26.3,0
21,1300.3,15.3,0
22,1400.3,16.3,0
23,1500.3,25.3,0
24,1340.3,20.3,0
25,65.3,120.3,1
26,60.3,122.3,1
27,64.3,125.3,1
28,70.3,60.3,1
29,66.3,40.3,1
30,55.3,100.3,1
31,60.3,45.3,1
32,70.3,110.3,1
33,55.3,120.3,1
34,65.3,100.3,1
35,70.3,122.3,1
36,64.3,125.3,1
37,70.3,60.3,1
38,57.3,40.3,1
39,54.3,100.3,1
40,72.3,45.3,1
41,70.3,110.3,1
42,55.3,120.3,1
43,73.3,16.3,1
44,50.3,59.3,1
45,55.3,110.3,1
46,60.3,50.3,1
47,55.3,100.3,1
48,60.3,120.3,1
49,60.3,20.3,2
50,60.3,15.3,2
51,59.3,18.3,2
52,55.3,16.3,2
53,60.3,17.3,2
54,60.3,18.3,2
55,55.3,15.3,2
56,50.3,16.3,2
57,65.3,9.3,2
58,60.3,10.3,2
59,59.3,14.3,2
60,60.3,20.3,2
61,60.3,16.3,2
62,55.3,20.3,2
63,60.3,18.3,2
64,55.3,17.3,2
65,58.3,15.3,2
66,54.3,10.3,2
67,55.3,16.3,2
68,60.3,15.3,2
69,60.3,10.3,2
70,59.3,14.3,2
